UDS 속성명,SSG 필드명,API 카테고리,사용 API 문서 수,공통/반복,UDS 필요도,설명
결과,result,정산 API 조회,1,단일,✅ 핵심 UDS,
결과 데이터,resultData,정산 API 조회,1,단일,✅ 핵심 UDS,
결과 메시지,resultMessage,정산 API 조회,1,단일,✅ 핵심 UDS,resultMessage: Result Message | resultMessage: Result Message | resultMessage: Result Message
결과 설명,resultDesc,정산 API 조회,1,단일,✅ 핵심 UDS,resultDesc: Error Message | resultDesc: Error Message | resultDesc: Error Message
결과코드,resultCode,정산 API 조회,1,단일,✅ 핵심 UDS,"resultCode: Result Code (00 normal, the rest error) | resultCode: Result Code (00 normal, the rest error) | resultCode: Result Code (00 normal, the rest error)"
과세 구분코드,txnDivCd,정산 API 조회,1,단일,✅ 핵심 UDS,txnDivCd: Taxation Division Code 10 : Taxation 20 : Tax Exemption 30 : Tax for small scale business | txnDivCd: Taxation Division Code 10 : Taxation 20 : Tax Exemption 30 : Tax for small scale business | txnDivCd: Taxation Division Code 10 : Taxation 20 : Tax Exemption 30 : Tax for small scale business
기준일자,critnDt,정산 API 조회,1,단일,✅ 핵심 UDS,critnDt: Criterion Date | critnDt: Criterion Date | critnDt: Criterion Date
단품명,uitemNm,정산 API 조회,1,단일,✅ 핵심 UDS,uitemNm: Unit Item Name | uitemNm: Unit Item Name
배송번호,shppNo,정산 API 조회,1,단일,✅ 핵심 UDS,shppNo: Shpping No | shppNo: Shpping No
상품 ID,itemId,정산 API 조회,1,단일,✅ 핵심 UDS,itemId: Item ID | itemId: Item ID | itemId: item Id
상품명,itemNm,정산 API 조회,1,단일,✅ 핵심 UDS,itemNm: Item Name | itemNm: Item Name | itemNm: Item Nm
샘플코드에서 확인된 필드,accept,정산 API 조회,1,단일,✅ 핵심 UDS,accept: 샘플코드에서 확인된 필드 | accept: 샘플코드에서 확인된 필드 | accept: 샘플코드에서 확인된 필드
운송장번호,wblNo,정산 API 조회,1,단일,✅ 핵심 UDS,wblNo: Waybill No | wblNo: Waybill No
원주문번호,orordNo,정산 API 조회,1,단일,✅ 핵심 UDS,orordNo: Original Order No | orordNo: Original Order No | orordNo: Original Order ID
원주문상품 순번,orordItemSeq,정산 API 조회,1,단일,✅ 핵심 UDS,orordItemSeq: integer | orordItemSeq: integer
응답 형식,Accept,정산 API 조회,1,단일,✅ 핵심 UDS,Accept: application/xml application/json | Accept: application/xml application/json | Accept: application/xml application/json
정산금액,settlAmt,정산 API 조회,1,단일,✅ 핵심 UDS,settlAmt: BigDecimal | settlAmt: BigDecimal
정산주기 코드,settlCycleCd,정산 API 조회,1,단일,✅ 핵심 UDS,settlCycleCd: Settle Cycle Code 11 : 1Cycle 1Round 21 : 2Cycle 1Round 22 : 2Cycle 2Round 31 : 3Cycle 1Round 32 : 3Cycle 2Round 33 : 3Cycle 3Round | settlCycleCd: Settle Cycle Code 11 : 1Cycle 1Round 21 : 2Cycle 1Round 22 : 2Cycle 2Round 31 : 3Cycle 1Round 32 : 3Cycle 2Round 33 : 3Cycle 3Round
주문번호,ordNo / orderNo,정산 API 조회,1,단일,✅ 핵심 UDS,orderNo: Order No | ordNo: Order No | orderNo: Order No
주문상품 순번,ordItemSeq,정산 API 조회,1,단일,✅ 핵심 UDS,ordItemSeq: integer | ordItemSeq: integer
주문수량,ordQty,정산 API 조회,1,단일,✅ 핵심 UDS,ordQty: BigDecimal
주문자명,ordpeNm,정산 API 조회,1,단일,✅ 핵심 UDS,ordpeNm: Order Person Name | ordpeNm: Order Person Name | ordpeNm: Customer Name
주문접수일시,ordRcpDts,정산 API 조회,1,단일,✅ 핵심 UDS,ordRcpDts: Order Date
페이지 번호,page,정산 API 조회,1,단일,✅ 핵심 UDS,page: Page No (Default : 1) | page: Page No (Default : 1) | page: Page No (Default : 1)
페이지 크기,pageSize,정산 API 조회,1,단일,✅ 핵심 UDS,pageSize: Page Size (Default : 1000) | pageSize: Page Size (Default : 1000) | pageSize: Page Size (Default : 1000)
