UDS 속성명,SSG 필드명,API 카테고리,사용 API 문서 수,공통/반복,UDS 필요도,설명
수령자명,rcptpeNm,업체 주문/배송,1,단일,✅ 핵심 UDS,rcptpeNm: 수취인 Recipient | rcptpeNm: 수취인 Recipient | rcptpeNm: 샘플코드에서 확인된 필드
수취인 구우편번호(6자리) Recipient Old P,shpplocOldZipcd,업체 주문/배송,1,단일,✅ 핵심 UDS,shpplocOldZipcd: 수취인 구우편번호(6자리) Recipient Old Postal Code (6digits) | shpplocOldZipcd: 수취인 구우편번호(6자리) Recipient Old Postal Code (6digits)
수취인 도로명주소 Recipient Road Name Address,shpplocRoadAddr,업체 주문/배송,1,단일,✅ 핵심 UDS,shpplocRoadAddr: 수취인 도로명주소 Recipient Road Name Address
실주문금액,rlordAmt,업체 주문/배송,1,단일,✅ 핵심 UDS,rlordAmt: 결제가 * 해당 항목은 배송을 위한 참고 정보입니다. 정산을 위해서는 정산 API를 활용해주세요. Real Order Amount * This is reference information for Shipping. Please use Settlement API for an accurate settlement. | rlordAmt: 샘플코드에서 확인된 필드
영업점번호 Distribution of Sales Nu,salestrNo,업체 주문/배송,1,단일,✅ 핵심 UDS,salestrNo: 영업점번호 Distribution of Sales Number
예약판매여부 Sales By Subscription O,rsvtItemYn,업체 주문/배송,1,단일,✅ 핵심 UDS,rsvtItemYn: 예약판매여부 Sales By Subscription Order Yes Or No Y: Sales By Subscription / N: Not Sales By Subscription
예약판매여부 Y/N Sales By Subscripti,rsvtItemYn,업체 주문/배송,1,단일,✅ 핵심 UDS,rsvtItemYn: 예약판매여부 Y/N Sales By Subscription Yes Or No Y/N
운송장등록오류코드 10 중량정보오류 20 운송장번호오류,wblRegErrCd,업체 주문/배송,1,단일,✅ 핵심 UDS,wblRegErrCd: 운송장등록오류코드 10 중량정보오류 20 운송장번호오류 30 수량변경주문번호 40 전체취소주문번호 50 정상 Waybill Registeration Error Code 10 Weight Information Error 20 Waybill Number Error 30 Quantity Change Order Number 40 Cancel-All Order Number 50 Normal | wblRegErrCd: 운송장등록오류코드 10 중량정보오류 20 운송장번호오류 30 수량변경주문번호 40 전체취소주문번호 50 정상 Waybill Registeration Error Code 10 Weight Information Error 20 Waybill Number Error 30 Quantity Change Order Number 40 Cancel-All Order Number 50 Normal
운송장등록오류코드명 Waybill Registeration Error C,wblRegErrCdNm,업체 주문/배송,1,단일,✅ 핵심 UDS,wblRegErrCdNm: 운송장등록오류코드명 Waybill Registeration Error Code Name
운송장번호,wblNo,업체 주문/배송,1,단일,✅ 핵심 UDS,"wblNo: 운송장번호 Waybill Number | wblNo: 운송장번호 * shppTypeCd:20, 40 또는 shppTypeDtlCd:91 일때만 필수 Waybill Number * Key Value for getting notice detail | wblNo: 샘플코드에서 확인된 필드"
