UDS 속성명,SSG 필드명,API 카테고리,사용 API 문서 수,공통/반복,UDS 필요도,설명
응답 형식,Accept,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,Accept: application/xml application/json | Accept: application/xml application/json | Accept: application/xml application/json
주소 ID Address ID,addrId,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,addrId: 주소 ID Address ID | addrId: 주소 ID Address ID
주소 사용 여부 Address Use Yes Or No,UseYn,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,UseYn: 주소 사용 여부 Address Use Yes Or No | UseYn: 주소 사용 여부 Address Use Yes Or No
주소지별칭명 Address Location Another Name,addrlcAntnmNm,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,addrlcAntnmNm: 주소지별칭명 Address Location Another Name | addrlcAntnmNm: 주소지별칭명 Address Location Another Name | addrlcAntnmNm: 주소지별칭명 Address Location Another Name
지번 기본주소 House Numbering Basic Address,jibunAddrBasc,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,jibunAddrBasc: 지번 기본주소 House Numbering Basic Address | jibunAddrBasc: 지번 기본주소 House Numbering Basic Address | jibunAddrBasc: 지번 기본주소 House Numbering Basic Address
지번 상세주소 House Numbering Detail Address,jibunAddrDtl,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,jibunAddrDtl: 지번 상세주소 House Numbering Detail Address | jibunAddrDtl: 지번 상세주소 House Numbering Detail Address | jibunAddrDtl: 지번 상세주소 House Numbering Detail Address
지번 주소 ID House Numbering Addre,jibunAddrId,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,jibunAddrId: 지번 주소 ID House Numbering Address ID | jibunAddrId: 지번 주소 ID House Numbering Address ID
지번 주소 사용 여부 House Numbering Ad,jibunAddrUseYn,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,jibunAddrUseYn: 지번 주소 사용 여부 House Numbering Address Use Yes Or No | jibunAddrUseYn: 지번 주소 사용 여부 House Numbering Address Use Yes Or No
택배사 계약코드 (택배사가 CJ대한통운/우체국택배/롯데,delicoTrscNo,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,"delicoTrscNo: 택배사 계약코드 (택배사가 CJ대한통운/우체국택배/롯데택배/로젠택배/한진택배/핑퐁/리터놀인 경우 필수, 일양로지스인 경우 선택) ※ 일양로지스인 경우 택배사 계약코드를 입력한 경우에만 자동회수 설정이 가능합니다. Courier Company Contract Code (Required if the courier is CJ/Post Office/Lotte/Rogen/Hanjin/Ilyang/Pingpong/Returnall) ※ In case of Ilyang, automatic return service is possible only when the courier company contract code is input. | delicoTrscNo: 택배사 계약코드 (택배사가 CJ대한통운/우체국택배/롯데택배/로젠택배/한진택배/핑퐁/리터놀인 경우 필수, 일양로지스인 경우 선택) ※ 일양로지스인 경우 택배사 계약코드를 입력한 경우에만 자동회수 설정이 가능합니다. Courier Company Contract Code (Required if the courier is CJ/Post Office/Lotte/Rogen/Hanjin/Ilyang/Pingpong/Returnall) ※ In case of Ilyang, automatic return service is possible only when the courier company contract code is input. | delicoTrscNo: 택배사 계약코드 (택배사가 CJ대한통운/우체국택배/롯데택배/로젠택배/한진택배/핑퐁/리터놀인 경우 필수, 일양로지스인 경우 선택) ※ 일양로지스인 경우 택배사 계약코드를 입력한 경우에만 자동회수 설정이 가능합니다. Courier Company Contract Code (Required if the courier is CJ/Post Office/Lotte/Rogen/Hanjin/Ilyang/Pingpong/Returnall) ※ In case of Ilyang, automatic return service is possible only when the courier company contract code is input."
택배사 업체 ID,delicoVenId,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,delicoVenId: Courier Company Code | delicoVenId: 택배사 코드 Courier Company Code | delicoVenId: 택배사 코드 Courier Company Code
"택배사 업체코드 - ""우체국택배""인 경우, 우체국 고객",goodsMngCd,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,"goodsMngCd: 택배사 업체코드 - ""우체국택배""인 경우, 우체국 고객번호 필수 입력 - ""CJ대한통운""인 경우, 발송고객코드(B코드) 사용 시 필수 입력 (발송고객코드 미사용 시 미입력) Courier Company Ven Code - In case of Post Office, Post Office Customer Number is required - In case of CJ, CJ Customer Number(B Code) is required only when using | goodsMngCd: 택배사 업체코드 - ""우체국택배""인 경우, 우체국 고객번호 필수 입력 - ""CJ대한통운""인 경우, 발송고객코드(B코드) 사용 시 필수 입력 (발송고객코드 미사용 시 미입력) Courier Company Ven Code - In case of Post Office, Post Office Customer Number is required - In case of CJ, CJ Customer Number(B Code) is required only when using | goodsMngCd: 택배사 업체코드 - ""우체국택배""인 경우, 우체국 고객번호 필수 입력 - ""CJ대한통운""인 경우, 발송고객코드(B코드) 사용 시 필수 입력 (발송고객코드 미사용 시 미입력) Courier Company Ven Code - In case of Post Office, Post Office Customer Number is required - In case of CJ, CJ Customer Number(B Code) is required only when using"
페이지 크기,pageSize,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,pageSize: Number of Prints Per Page (Default 500) | pageSize: Number of Prints Per Page (Default 500)
해외 연락처 Contracts,frgTelno,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,frgTelno: 해외 연락처 Contracts | frgTelno: 해외 연락처 Contracts
해외 우편번호 Zip/Postal Code,frgZipcd,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,frgZipcd: 해외 우편번호 Zip/Postal Code | frgZipcd: 해외 우편번호 Zip/Postal Code | frgZipcd: 해외 우편번호 Zip/Postal Code
