UDS 속성명,SSG 필드명,API 카테고리,사용 API 문서 수,공통/반복,UDS 필요도,설명
반품거부사유 01 기간경과 02 사용상품 03 상품불량 04 구성품누락 ,retRefusRsnCds / retRefusRsnNm,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,"retRefusRsnCds: 반품거부사유 01 기간경과 02 사용상품 03 상품불량 04 구성품누락 05 사은품누락 06 상품상이 07 상품수량상이 08 상품훼손/파손 09 케이스(BOX)파손 10 상담원과실 11 기타 Return Denied Reason Overlap permitted. Must use ',' for division. 01 Period Elapsed 02 Use Item 03 Faulty Item 04 Main Item Omitted 05 Free Gift Omitted 06 Item Incorrect 07 Item Quantity Incorrect 08 Item Damage 09 Case(Box) Damage 10 Consultant's Mistake 11 Other | retRefusRsnNm: 반품거부사유 01 기간경과 02 사용상품 03 상품불량 04 구성품누락 05 사은품누락 06 상품상이 07 상품수량상이 08 상품훼손/파손 09 케이스(BOX)파손 10 상담원과실 11 기타 Return Denied Reason Overlap permitted. Must use ',' for division. 01 Period Elapsed 02 Use Item 03 Faulty Item 04 Main Item Omitted 05 Free Gift Omitted 06 Item Incorrect 07 Item Quantity Incorrect 08 Item Damage 09 Case(Box) Damage 10 Consultant's Mistake 11 Other"
반품거부수량 Return Denied Quantity,refusRetProcQty,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,refusRetProcQty: 반품거부수량 Return Denied Quantity
반품거부처리메모 Return Denied Memo,retProcMemoCntt,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,retProcMemoCntt: 반품거부처리메모 Return Denied Memo
반품처리상태 10 반품완료 20 반품거부 30 반품거부CS처리중 40 반,retProcStats,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,retProcStats: 반품처리상태 10 반품완료 20 반품거부 30 반품거부CS처리중 40 반품거부CS처리완료 Return Process Status 10 Return Completed 20 Return Denied 30 Return Denied CS Processing 40 Return Denied CS Processing Completed
반품처리상태 Return Process Status,retProcStatNm,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,retProcStatNm: 반품처리상태 Return Process Status
반품처리상태코드 10 반품완료 20 반품거부 30 반품,retProcStatCd,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,retProcStatCd: 반품처리상태코드 10 반품완료 20 반품거부 30 반품거부CS처리중 40 반품거부CS처리완료 50 반품확인 60 회수철회 Return Process Status Code 10 Return Completed 20 Return Denied 30 Return Denied CS Processing 40 Return Denied CS Processing Completed 50 Recollect Confirmed 60 Recollect Revoked
배송구분상세명 Release Type Name,shppDivDtlNm,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,shppDivDtlNm: 배송구분상세명 Release Type Name
배송구분상세코드 21 반품 22 교환 23 AS Release Type ,shppDivDtlCds,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,shppDivDtlCds: 배송구분상세코드 21 반품 22 교환 23 AS Release Type 21 Return 22 Exchange 23 AS
배송번호,shppNo,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,shppNo: 회수배송번호 Recollect Shipping Number | shppNo: 샘플코드에서 확인된 필드 | shppNo: 배송번호 Shipping Number
배송비 추가결제 Shipping Cost Additional Paymen,shppcstAddPaymtNm,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,shppcstAddPaymtNm: 배송비 추가결제 Shipping Cost Additional Payment
배송비부담주체코드 10 고객 20 업체 Shipping,shppcstBdnMainCd,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,shppcstBdnMainCd: 배송비부담주체코드 10 고객 20 업체 Shipping Cost Payee Main Code 10 Customer 20 Vendor
배송비부담주체코드명 Shipping Cost Payee Main Name,shppcstBdnMainNm,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,shppcstBdnMainNm: 배송비부담주체코드명 Shipping Cost Payee Main Name
배송사 메모,memoCntt,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,memoCntt: 배송업무메모 Shipping Company Memo
배송상태 코드,shppStatCd,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,shppStatCd: 배송상태코드 10 정상 30 대기 Shipping Status Code 10 Normal 30 On Hold | shppStatCd: 샘플코드에서 확인된 필드
배송상태코드명 Shipping Status Name,shppStatNm,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,shppStatNm: 배송상태코드명 Shipping Status Name
배송순번,shppSeq,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,shppSeq: 회수배송순번 Recollect Shipping Sequence | shppSeq: 샘플코드에서 확인된 필드 | shppSeq: 배송순번 Shipping Item Sequence
배송유형 상세코드,shppTypeDtlCd,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,shppTypeDtlCd: 배송유형상세코드 14 업체자사배송 22 업체택배배송 25 해외택배배송 31 매장방문 41 등기 91 업체프리미엄배송 Shipping Type Code 14 Vendor's In-House Shipping 22 Vendor Shipping 25 International Shipping 31 In-Store Visit 41 Mail 91 Premium Shipping | shppTypeDtlCd: 샘플코드에서 확인된 필드 | shppTypeDtlCd: 배송유형상세코드 14 업체자사배송 22 업체택배배송 25 해외택배배송 31 매장방문 41 등기 91 업체프리미엄배송 Shipping Type Detail 14 Vendor's In-House Shipping 22 Vendor Shipping 25 International Shipping 31 In-Store Visit 41 Mail 91 Premium Shipping
배송유형상세코드 14 업체자사배송 22 업체택배배송 25 해외택배배송 3,shppTypeDtlCds,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,shppTypeDtlCds: 배송유형상세코드 14 업체자사배송 22 업체택배배송 25 해외택배배송 31 매장방문 41 등기 91 업체프리미엄배송 Shipping Type Detail 14 Vendor's In-House Shipping 22 Vendor Shipping 25 International Shipping 31 In-Store Visit 41 Mail 91 Premium Shipping
배송유형상세코드명 Shipping Type Detail Name,shppTypeDtlNm,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,shppTypeDtlNm: 배송유형상세코드명 Shipping Type Detail Name
배송주체코드 32 업체창고 41 협력업체 42 브랜드직,shppMainCd,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,shppMainCd: 배송주체코드 32 업체창고 41 협력업체 42 브랜드직배 Shipping Main Code 32 Vendor's Warehouse 41 Cooperative Company 42 Brand Direct Shipping | shppMainCd: 배송주체코드 32 업체창고 41 협력업체 42 브랜드직배 Shipping Main Code 32 Vendor's Warehouse 41 Cooperative Company 42 Brand Direct Shipping
배송지 기본주소,shpplocBascAddr,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,"shpplocBascAddr: 수취인 행정구역 + 도로명 + 건물번호 (도로명 주소가 없는 경우 지번 기본 주소) Recipient Administrative District + Street Name + Building Number (If there is no road name address, the land lot number basic address is returned.)"
배송지 상세주소,shpplocDtlAddr,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,"shpplocDtlAddr: 수취인 도로명 상세주소 (도로명 주소가 없는 경우 지번 상세 주소) Recipient Road Name Detail Address (If there is no road name address, the land lot number detail address is returned.)"
배송지 우편번호,shpplocZipcd,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,shpplocZipcd: 수취인 우편번호 Recipient Postal Code | shpplocZipcd: 샘플코드에서 확인된 필드
배송지 지번주소,shpplocAddr,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,"shpplocAddr: 수취인 도로명주소 (도로명 주소가 없는 경우 지번 주소) Recipient Road Name Address (If there is no road name address, the land lot number address is returned.) | shpplocAddr: 샘플코드에서 확인된 필드"
비용정보 Cost Information,cstInfo,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,cstInfo: 비용정보 Cost Information
"빠른조회값, 빠른조회일 경우 필수 값 If quick search, th",commValue,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,"commValue: 빠른조회값, 빠른조회일 경우 필수 값 If quick search, then mandatory value."
"빠른조회타입, 빠른조회일 경우 필수 값 01 운송장번호 02 주문번호 0",commType,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,"commType: 빠른조회타입, 빠른조회일 경우 필수 값 01 운송장번호 02 주문번호 03 배송번호 If general search, then mandatory value. 01 Waybill Number 02 Order Number 03 Shipping Number"
사은품 Free Gift,frebieNm,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,frebieNm: 사은품 Free Gift
상세배송진행상태 61 회수지시 63 회수확인 64 회수완료 65 회수완료,shppProgStatDtlCds,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,shppProgStatDtlCds: 상세배송진행상태 61 회수지시 63 회수확인 64 회수완료 65 회수완료보류 66 회수철회 Recollect Status 61 Recollect Instructed 63 Recollect Confirmed 64 Recollect Completed 65 Recollect Completed On Hold 66 Recollect Revoked
상위업체명 (삭제예정. 'shppVenNm'을 사용해주세요) Upper ,splVenNm,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,"splVenNm: 상위업체명 (삭제예정. 'shppVenNm'을 사용해주세요) Upper Rank Vendor (To be deleted. Please use ""shppVenNm"".)"
상품 ID,itemId,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,itemId: 상품ID Item Number | itemId: 샘플코드에서 확인된 필드 | itemId: 상품번호 Item Number
상품명,itemNm,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,itemNm: 상품명 Item Name | itemNm: 샘플코드에서 확인된 필드 | itemNm: 상품명 Item Name
샘플코드에서 확인된 필드,accept / bfShppNo / bfShppSeq / clmRsnCd / clmRsnCntt / clmRsnNm / cnclItemQty / cstInfo / delicoVenNm / dircItemQty / exchShppcst / exchangeTarget / exchangeTargets / imptDivCd / lastShppProgStatDtlCd / lastShppProgStatDtlNm / lrnkSplVenId / lrnkSplVenNm / mdlNm / orOrdNo / ordCnclDts / ordCnfdocNo / ordItemCertNoYn / ordItemStatCd / ordItemStatNm / ordRcpMediaCd / ordRcpMediaNm / ordTypeCd06Yn / procItemQty / rcovCmplDt / rcovCnfDt / rcovDircDt / rcovMthdCd / rcovMthdNm / refundDt / refundYn / request / requestConfirmRcov / requestExchangeTarget / requestRefusualReturn / resellPsblYn / retImptMainCd / retImptMainNm / retProcMemoCntt / retProcStatCd / retProcStatNm / retRefusRsnCd / retShppcst / shpmtShppcst / shppDivDtlNm / shppLrnkVenId / shppLrnkVenNm / shppStatNm / shppTypeDtlNm / shppVenId / shppVenNm / shppcstBdnMainCd / shppcstBdnMainNm / shpplocOldZipcd / splVenBdnDcAmt / splVenId / splVenNm,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,accept: 샘플코드에서 확인된 필드 | accept: 샘플코드에서 확인된 필드 | accept: 샘플코드에서 확인된 필드
선물하기 주문여부 Y/N GiftItem OrderTy,ordTypeCd06Yn,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,ordTypeCd06Yn: 선물하기 주문여부 Y/N GiftItem OrderType Yes Or No Y/N | ordTypeCd06Yn: 선물하기 주문여부 Y/N GiftItem OrderType Yes Or No Y/N
수령자 전화번호,rcptpeTelno,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,rcptpeTelno: 수취인 집전화번호 Recipient Phone Number | rcptpeTelno: 샘플코드에서 확인된 필드
수령자 휴대전화,rcptpeHpno,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,rcptpeHpno: 수취인 휴대폰번호 Recipient Mobile Phone Number | rcptpeHpno: 샘플코드에서 확인된 필드
수령자명,rcptpeNm,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,rcptpeNm: 수취인 Recipient | rcptpeNm: 수취인 Recipient | rcptpeNm: 샘플코드에서 확인된 필드
수취인 구우편번호(6자리) Recipient Old P,shpplocOldZipcd,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,shpplocOldZipcd: 수취인 구우편번호(6자리) Recipient Old Postal Code (6digits)
실주문금액,rlordAmt,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,rlordAmt: 결제가 * 해당 항목은 배송을 위한 참고 정보입니다. 정산을 위해서는 정산 API를 활용해주세요. Real Order Amount * This is reference information for Shipping. Please use Settlement API for an accurate settlement. | rlordAmt: 샘플코드에서 확인된 필드
운송장번호,wblNo,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,wblNo: 운송장번호 Waybill Number | wblNo: 샘플코드에서 확인된 필드 | wblNo: 운송장번호 Waybill Number
원배송번호 Original Shipping Number,orshppNo,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,orshppNo: 원배송번호 Original Shipping Number
원배송순번 Original Shipping Sequen,orshppSeq,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,orshppSeq: 원배송순번 Original Shipping Sequence
원주문번호,orordNo,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,"orordNo: 원주문번호조회타입, 원주문번호일 경우 필수 값 원주문번호 If Original Order Number search, then mandatory value. Original Order Number | orordNo: 원주문번호 Original Order Number | orordNo: 샘플코드에서 확인된 필드"
"원주문번호조회타입, 옵션 값 원주문상품순번 1,2,3,",orordItemSeqs,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,"orordItemSeqs: 원주문번호조회타입, 옵션 값 원주문상품순번 1,2,3,4,5 If Original Order Number search, then option value. Original Order Item Sequence's 1,2,3,4,5"
원주문상품 순번,orordItemSeq,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,orordItemSeq: 원주문상품순번 Original Order Item Sequence | orordItemSeq: 샘플코드에서 확인된 필드 | orordItemSeq: 원주문순번 Original Order Item Sequence
응답 형식,Accept,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,Accept: application/xml application/json application/xml application/json | Accept: application/xml application/json application/xml application/json | Accept: application/xml application/json application/xml application/json
