UDS 속성명,SSG 필드명,API 카테고리,사용 API 문서 수,공통/반복,UDS 필요도,설명
원주문상품 순번,orordItemSeq,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,orordItemSeq: Original Order Item Sequence | orordItemSeq: Order item sequence
조회 시작일,perdStrDts,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,"perdStrDts: If Period search, then mandatory value. Period start date. yyyymmdd (Period is within 7 days)"
조회 종료일,perdEndDts,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,"perdEndDts: If Period search, then mandatory value. Period end date. yyyymmdd (Period is within 7 days)"
주문 배송메모,ordMemoCntt,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,ordMemoCntt: Customer request memo
주문금액,ordAmt,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,ordAmt: Order Amount ( selling price * order qauntity )
주문번호,ordNo,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,ordNo: Order Number | ordNo: Order Number | ordNo: Order Number
주문상품 구분,ordItemDiv,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,ordItemDiv: Order Item Division Code 011 : Order 021 : Cancellation 031 : Return 041 : Return exchange order 042 : Exchange Release 112 : Partial Release 062 : Option Change Release
주문상품 순번,ordItemSeq,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,ordItemSeq: Order Item Sequence | ordItemSeq: Order Item Sequence | ordItemSeq: Order Item Sequence
주문수량,ordQty,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,ordQty: Order Quantity
주문자명,ordpeNm,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,ordpeNm: Customer
주문확정일시,ordCmplDt,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,ordCmplDt: Order Confirmation Date ( yyyy-mm-dd HH:mm:ss )
출고수량,shpmtQty,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,shpmtQty: Shipped Quantity
취소수량,cnclQty,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,cnclQty: Canceled Quantity
택배사 업체 ID,delicoVenId,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,"delicoVenId: Return Collection Courier 0000033012 CJ대한통운(CJGLS) 0000033036 로젠택배 0000033033 드림택배(동부택배, 옐로우캡) 0000033052 우체국택배 0000033071 한진택배 0000033073 롯데택배(구현대택배) 0000033017 KGB택배 0000033014 GTX로지스 0000033030 대신택배 0000033057 일양로지스 0000033027 경동택배 0000038977 합동택배 0000033062 천일택배 0000033013 CVS편의점택배"
회원 ID,mbrId,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,mbrId: User ID Number
회원 로그인 ID,mbrLoginId,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,mbrLoginId: Login Id
